label,video_path
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_0.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_1.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_2.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_3.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_4.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_5.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_6.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_7.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_8.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_9.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_10.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_11.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_12.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_13.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_14.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_15.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_16.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_17.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_18.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_19.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_20.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_21.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_22.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_24.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_25.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_26.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_27.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_28.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_29.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_30.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_31.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_32.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_34.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_35.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_36.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_38.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_39.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_40.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_41.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_42.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_43.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_44.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_45.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_46.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_47.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_48.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_49.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_50.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_51.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_52.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_53.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_54.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_55.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_56.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_58.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_59.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_60.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_61.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_62.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_63.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_64.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_65.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_67.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_68.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_69.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_70.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_71.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_72.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_73.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_74.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_76.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_77.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_78.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_79.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_80.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_81.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_82.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_83.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_84.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_85.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_86.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_87.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_88.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_89.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_90.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_91.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_92.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_93.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_94.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_96.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_98.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_99.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_100.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_101.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_102.mp4
0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_104.mp4
